iso_time,BTC Trend (default),ETH Trend (optimized),SOL Trend (optimized)
2024-05-11 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
2024-05-12 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
2024-05-13 00:00:00+00:00,240837.17432398192,136358.06050930824,341068.1969897884
2024-05-14 00:00:00+00:00,233984.42197281003,136358.06050930824,341068.1969897884
2024-05-15 00:00:00+00:00,245611.0253940533,136358.06050930824,351821.1930019028
2024-05-16 00:00:00+00:00,240893.2869854168,136358.06050930824,354405.0020857629
2024-05-17 00:00:00+00:00,249452.1641616747,140476.185676798,385865.6978037577
2024-05-18 00:00:00+00:00,248944.44647546852,142605.68594069497,395264.34187313385
2024-05-19 00:00:00+00:00,246462.30907109045,139062.38464806342,379543.0629116553
2024-05-20 00:00:00+00:00,258964.9160605982,173309.35399203023,413915.0991747245
2024-05-21 00:00:00+00:00,252943.129998001,182362.12667515886,380878.1619767516
2024-05-22 00:00:00+00:00,248389.13956440572,178542.19038807173,380878.1619767516
2024-05-23 00:00:00+00:00,248879.2022162812,181623.8917663936,380878.1619767516
2024-05-24 00:00:00+00:00,248879.2022162812,177535.12041749395,380878.1619767516
2024-05-25 00:00:00+00:00,248879.2022162812,177535.12041749395,380878.1619767516
2024-05-26 00:00:00+00:00,248879.2022162812,177535.12041749395,380878.1619767516
2024-05-27 00:00:00+00:00,244584.8159921449,175375.35038058987,380878.1619767516
2024-05-28 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-05-29 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-05-30 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-05-31 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-06-01 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-06-02 00:00:00+00:00,241115.22984388997,171155.12173547517,380878.1619767516
2024-06-03 00:00:00+00:00,239298.08144443342,171155.12173547517,380878.1619767516
2024-06-04 00:00:00+00:00,247108.71039962745,171155.12173547517,382933.1829218605
2024-06-05 00:00:00+00:00,249715.7857818357,170923.03042877052,388409.3305578668
2024-06-06 00:00:00+00:00,248267.58408731126,167011.2754672724,375423.2276708777
2024-06-07 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-08 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-09 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-10 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-11 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-12 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-13 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-14 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-15 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-16 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-17 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-18 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-19 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-20 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-21 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-22 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-23 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-24 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-25 00:00:00+00:00,247868.9495596173,167011.2754672724,375423.2276708777
2024-06-26 00:00:00+00:00,247868.9495596173,167011.2754672724,365760.9563809791
2024-06-27 00:00:00+00:00,247868.9495596173,167011.2754672724,414488.96019589575
2024-06-28 00:00:00+00:00,247868.9495596173,167011.2754672724,378540.26634076453
2024-06-29 00:00:00+00:00,247868.9495596173,167011.2754672724,378540.26634076453
2024-06-30 00:00:00+00:00,247868.9495596173,167011.2754672724,378540.26634076453
2024-07-01 00:00:00+00:00,244269.31722617973,167011.2754672724,378540.26634076453
2024-07-02 00:00:00+00:00,239776.8361737305,167011.2754672724,392724.971091237
2024-07-03 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-04 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-05 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-06 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-07 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-08 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-09 00:00:00+00:00,239776.8361737305,167011.2754672724,365481.69362571975
2024-07-10 00:00:00+00:00,232307.22666706567,167011.2754672724,359497.57314859243
2024-07-11 00:00:00+00:00,229623.56299199368,163604.17692586072,352803.3185543461
2024-07-12 00:00:00+00:00,229623.56299199368,160899.5902727382,352803.3185543461
2024-07-13 00:00:00+00:00,229333.31739703153,159682.1146220959,352803.3185543461
2024-07-14 00:00:00+00:00,237461.27604743585,164974.774587291,362000.3908143242
2024-07-15 00:00:00+00:00,257615.72923292915,183304.07563938503,402428.5294015394
2024-07-16 00:00:00+00:00,259103.45629504518,180210.1452947358,406764.20543598983
2024-07-17 00:00:00+00:00,254139.8190903577,175700.67223676108,388714.8114376502
2024-07-18 00:00:00+00:00,254475.56969338655,175335.93908765618,394831.67558758357
2024-07-19 00:00:00+00:00,254475.56969338655,175335.93908765618,411146.61035419174
2024-07-20 00:00:00+00:00,254635.65242255566,174689.6907087849,426351.2951324268
2024-07-21 00:00:00+00:00,259577.58390791249,170395.3739058785,463734.9286307512
2024-07-22 00:00:00+00:00,251719.8410519854,170395.3739058785,444234.4857135418
2024-07-23 00:00:00+00:00,251719.8410519854,170395.3739058785,430341.95444534166
2024-07-24 00:00:00+00:00,251719.8410519854,170395.3739058785,430341.95444534166
2024-07-25 00:00:00+00:00,251719.8410519854,170395.3739058785,430341.95444534166
2024-07-26 00:00:00+00:00,251719.8410519854,170395.3739058785,430341.95444534166
2024-07-27 00:00:00+00:00,250641.1799505657,170395.3739058785,429648.5798661766
2024-07-28 00:00:00+00:00,252308.51067322312,170395.3739058785,433017.83556015475
2024-07-29 00:00:00+00:00,251344.67100513124,170395.3739058785,432092.2144458397
